ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 2016-17,Fall Membership (V33) [District Finance] 2016-17
BENTON COMM SCHOOL DISTRICT,Iowa,IOWA,Benton Comm School District,1904830,9445,1661
BENTON COMMUNITY SCHOOL CORP,Indiana,INDIANA,Benton Community School Corp,1800480,10688,1897
BENTON CONS HSD 103,Illinois,ILLINOIS,Benton Cons HSD 103,1705970,13478,579
BENTON COUNTY,Tennessee,TENNESSEE,Benton County,4700240,9632,2190
BENTON HARBOR AREA SCHOOLS,Michigan,MICHIGAN,Benton Harbor Area Schools,2604830,11572,2254
BENTON HARBOR CHARTER SCHOOL ACADEMY,Michigan,MICHIGAN,Benton Harbor Charter School Academy,2600191,8417,434
BENTON LAKE ELEM,Montana,MONTANA,Benton Lake Elem,3003480,12900,10
BENTON SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Benton School District,3301830,†,†
BENTON SCHOOL DISTRICT,Wisconsin,WISCONSIN,Benton School District,5501110,12788,236
BENTON SCHOOL DISTRICT,Arkansas,ARKANSAS,BENTON SCHOOL DISTRICT,0502960,7840,5202
BENTON-STEARNS EDUCATION DISTRICT,Minnesota,MINNESOTA,BENTON-STEARNS ED. DISTRICT,2700071,†,†
BENTONVILLE SCHOOL DISTRICT,Arkansas,ARKANSAS,BENTONVILLE SCHOOL DISTRICT,0503060,9779,16609
BENTWORTH SD,Pennsylvania,PENNSYLVANIA,Bentworth SD,4203360,13102,1117
BENZIE COUNTY CENTRAL SCHOOLS,Michigan,MICHIGAN,Benzie County Central Schools,2604950,9710,1516
BEREA CITY,Ohio,OHIO,Berea City,3904360,11942,6465
BEREA INDEPENDENT,Kentucky,KENTUCKY,Berea Independent,2100480,10599,1141
BERESFORD SCHOOL DISTRICT 61-2,South Dakota,SOUTH DAKOTA,Beresford School District 61-2,4606360,9483,675
BERGEN ARTS AND SCIENCE CHARTER SCHOOL,New Jersey,NEW JERSEY,Bergen Arts and Science Charter School,3400715,13860,1126
BERGEN COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,NEW JERSEY,Bergen County Special Services School District,3401450,†,–
BERGEN COUNTY VOCATIONAL TECHNICAL SCHOOL DISTRICT,New Jersey,NEW JERSEY,Bergen County Vocational Technical School District,3401470,33918,2105
BERGENFIELD BOROUGH SCHOOL DISTRICT,New Jersey,NEW JERSEY,Bergenfield Borough School District,3401500,18551,3550
BERGMAN SCHOOL DISTRICT,Arkansas,ARKANSAS,BERGMAN SCHOOL DISTRICT,0503090,8200,1167
BERING STRAIT SCHOOL DISTRICT,Alaska,ALASKA,Bering Strait School District,0200020,32037,1970
BERKELEY 01,South Carolina,SOUTH CAROLINA,Berkeley 01,4501170,9680,34628
BERKELEY COUNTY SCHOOLS,West Virginia,WEST VIRGINIA,BERKELEY COUNTY SCHOOLS,5400060,10585,19000
BERKELEY HEIGHTS SCHOOL DISTRICT,New Jersey,NEW JERSEY,BERKELEY HEIGHTS SCHOOL DISTRICT,3401530,19104,2712
BERKELEY SD 87,Illinois,ILLINOIS,Berkeley SD 87,1706000,13027,2725
BERKELEY TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Berkeley Township School District,3401560,16412,2139
BERKELEY UNIFIED,California,CALIFORNIA,Berkeley Unified,0604740,15042,10239
BERKLEY,Massachusetts,MASSACHUSETTS,Berkley,2502520,12209,930
BERKLEY SCHOOL DISTRICT,Michigan,MICHIGAN,Berkley School District,2605010,12702,4403
BERKS CAREER AND TECHNOLOGY CENTER,Pennsylvania,PENNSYLVANIA,Berks CTC,4280060,†,†
BERKS COUNTY IU 14,Pennsylvania,PENNSYLVANIA,Berks County IU 14,4289240,†,–
BERKSHIRE ARTS AND TECHNOLOGY CHARTER PUBLIC (DISTRICT),Massachusetts,MASSACHUSETTS,Berkshire Arts and Technology Charter Public (District),2500079,16056,356
BERKSHIRE HILLS,Massachusetts,MASSACHUSETTS,Berkshire Hills,2502530,19755,1300
BERKSHIRE LOCAL,Ohio,OHIO,Berkshire Local,3904716,11310,1238
BERKSHIRE SCHOOL DISTRICT,Vermont,VERMONT,Berkshire School District,5002190,6933,314
BERKSHIRE UNION FREE SCHOOL DISTRICT,New York,NEW YORK,BERKSHIRE UNION FREE SCHOOL DISTRICT,3604590,†,–
BERLIN,Massachusetts,MASSACHUSETTS,Berlin,2502550,20058,191
BERLIN AREA SCHOOL DISTRICT,Wisconsin,WISCONSIN,Berlin Area School District,5501140,11129,1618
BERLIN BOROUGH SCHOOL DISTRICT,New Jersey,NEW JERSEY,Berlin Borough School District,3401590,15358,818
BERLIN BROTHERSVALLEY SD,Pennsylvania,PENNSYLVANIA,Berlin Brothersvalley SD,4203420,13542,705
BERLIN CENTRAL SCHOOL DISTRICT,New York,NEW YORK,BERLIN CENTRAL SCHOOL DISTRICT,3604620,24785,727
BERLIN SAU OFFICE,New Hampshire,NEW HAMPSHIRE,Berlin SAU Office,3399903,†,–
BERLIN SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Berlin School District,3301860,17578,1115
BERLIN SCHOOL DISTRICT,Vermont,VERMONT,Berlin School District,5002220,12800,225
BERLIN SCHOOL DISTRICT,Connecticut,CONNECTICUT,BERLIN SCHOOL DISTRICT,0900210,19161,2791
BERLIN TOWNSHIP S/D #3,Michigan,MICHIGAN,Berlin Township S/D #3,2605100,20222,9
BERLIN TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Berlin Township School District,3401620,20551,617
BERLIN-BOYLSTON,Massachusetts,MASSACHUSETTS,Berlin-Boylston,2502580,14256,594
BERMUDIAN SPRINGS SD,Pennsylvania,PENNSYLVANIA,Bermudian Springs SD,4203450,11808,1989
BERNALILLO,New Mexico,NEW MEXICO,BERNALILLO PUBLIC SCHOOLS,3500210,11067,3188
BERNARDS TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Bernards Township School District,3401650,17645,5545
BERNE UNION LOCAL,Ohio,OHIO,Berne Union Local,3904685,11666,867
BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,New York,NEW YORK,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,3604650,24452,789
BERNIE R-XIII,Missouri,MISSOURI,BERNIE R-XIII,2904950,9014,507
BERRIEN COUNTY,Georgia,GEORGIA,Berrien County,1300390,9517,3149
BERRIEN RESA,Michigan,MICHIGAN,Berrien RESA,2680160,†,–
BERRIEN SPRINGS PUBLIC SCHOOLS,Michigan,MICHIGAN,Berrien Springs Public Schools,2605430,8383,3450
BERRYESSA UNION ELEMENTARY,California,CALIFORNIA,Berryessa Union Elementary,0604800,10515,7296
BERRYHILL,Oklahoma,OKLAHOMA,BERRYHILL,4004020,6843,1226
BERRYVILLE SCHOOL DISTRICT,Arkansas,ARKANSAS,BERRYVILLE SCHOOL DISTRICT,0503150,9218,1987
BERTHA-HEWITT PUBLIC SCHOOL DIST.,Minnesota,MINNESOTA,BERTHA-HEWITT PUBLIC SCHOOL DIST.,2705430,11247,445
BERTIE COUNTY SCHOOLS,North Carolina,NORTH CAROLINA,Bertie County Schools,3700360,11732,2292
BERTRAND PUBLIC SCHOOLS,Nebraska,NEBRASKA,BERTRAND PUBLIC SCHOOLS,3104020,14927,274
BERWICK AREA SD,Pennsylvania,PENNSYLVANIA,Berwick Area SD,4203480,13218,2875
BERWYN NORTH SD 98,Illinois,ILLINOIS,Berwyn North SD 98,1706060,14992,3110
BERWYN SOUTH SD 100,Illinois,ILLINOIS,Berwyn South SD 100,1706090,14385,3842
BESSEMER AREA SCHOOL DISTRICT,Michigan,MICHIGAN,Bessemer Area School District,2600006,8675,422
BESSEMER CITY,Alabama,ALABAMA,Bessemer City,0100330,10897,3605
BEST ACADEMY,Minnesota,MINNESOTA,BEST ACADEMY,2700309,14590,717
BETA ACADEMY,TEXAS,TEXAS,BETA ACADEMY,4801446,7570,542
BETHALTO CUSD 8,Illinois,ILLINOIS,Bethalto CUSD 8,1706120,12217,2516
BETHANY,Oklahoma,OKLAHOMA,BETHANY,4004110,7195,1713
BETHANY COMMUNITY SCHOOL,North Carolina,NORTH CAROLINA,Bethany Community Middle,3700110,7159,271
BETHANY SCHOOL DISTRICT,Connecticut,CONNECTICUT,BETHANY SCHOOL DISTRICT,0900240,21303,356
BETHEL,Oklahoma,OKLAHOMA,BETHEL,4004230,6797,1347
BETHEL HILL CHARTER,North Carolina,NORTH CAROLINA,Bethel Hill Charter,3700109,7810,400
BETHEL LOCAL,Ohio,OHIO,Bethel Local,3904861,8773,1227
BETHEL PARK SD,Pennsylvania,PENNSYLVANIA,Bethel Park SD,4203510,16731,4238
BETHEL SCHOOL DISTRICT,Connecticut,CONNECTICUT,BETHEL SCHOOL DISTRICT,0900270,18091,2984
BETHEL SCHOOL DISTRICT,Vermont,VERMONT,Bethel School District,5002250,16217,272
BETHEL SCHOOL DISTRICT,Washington,WASHINGTON,Bethel School District,5300480,11294,19226
BETHEL SD 52,Oregon,OREGON,Bethel SD 52,4102040,10267,5648
BETHEL SD 82,Illinois,ILLINOIS,Bethel SD 82,1706180,8821,195
BETHEL-TATE LOCAL,Ohio,OHIO,Bethel-Tate Local,3904631,9307,1579
BETHLEHEM AREA SD,Pennsylvania,PENNSYLVANIA,Bethlehem Area SD,4203570,13846,13739
BETHLEHEM AREA VOCATIONAL-TECHNICAL SCHOOL,Pennsylvania,PENNSYLVANIA,Bethlehem AVTS,4280370,†,†
BETHLEHEM CENTRAL SCHOOL DISTRICT,New York,NEW YORK,BETHLEHEM CENTRAL SCHOOL DISTRICT,3604710,17707,4624
BETHLEHEM SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Bethlehem School District,3301890,18958,167
BETHLEHEM TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Bethlehem Township School District,3401710,24792,361
BETHLEHEM-CENTER SD,Pennsylvania,PENNSYLVANIA,Bethlehem-Center SD,4203600,14328,1194
BETHPAGE UNION FREE SCHOOL DISTRICT,New York,NEW YORK,BETHPAGE UNION FREE SCHOOL DISTRICT,3604740,26946,2911
BETHUNE SCHOOL DISTRICT NO. R- 5,Colorado,COLORADO,Bethune School District No. R- 5,0802460,17436,110
BETTENDORF COMM SCHOOL DISTRICT,Iowa,IOWA,Bettendorf Comm School District,1904860,10633,4468
BETTY SHABAZZ  INTERNL CHRTR SCH,ILLINOIS,ILLINOIS,Betty Shabazz  Internl Chrtr Sch,1701424,†,561
BEULAH 27,North Dakota,NORTH DAKOTA,BEULAH 27,3800032,11482,718
BEVERLY,Massachusetts,MASSACHUSETTS,Beverly,2502640,13623,4620
BEVERLY CITY SCHOOL DISTRICT,New Jersey,NEW JERSEY,BEVERLY CITY SCHOOL,3401740,19391,304
BEVERLY HILLS UNIFIED,California,CALIFORNIA,Beverly Hills Unified,0604830,16625,4023
BEVIER C-4,Missouri,MISSOURI,BEVIER C-4,2904980,11060,182
BEXAR COUNTY ACADEMY,Texas,TEXAS,BEXAR COUNTY ACADEMY,4800077,11342,368
BEXLEY CITY,Ohio,OHIO,Bexley City,3904362,14546,2355
BGLIG-SHIRLEY RODRIGUEZ-REMENESKI CS,New York,NEW YORK,BGLIG-SHIRLEY RODRIGUEZ-REMENESKI CS,3600967,†,433
BI-COUNTY COLLABORATIVE (BICO),MASSACHUSETTS,MASSACHUSETTS,Bi-County Collaborative (BICO),2500582,†,†
BI-COUNTY SPECIAL EDUC COOP,Illinois,ILLINOIS,Bi-County Special Educ Coop,1700227,†,†
BIBB COUNTY,Alabama,ALABAMA,Bibb County,0100360,9254,3291
BIBB COUNTY,Georgia,GEORGIA,Bibb County,1300420,9958,23988
BICENTENNIAL UNION HIGH SCHOOL DISTRICT (4515),Arizona,ARIZONA,Bicentennial Union High School District,0401160,13951,123
BICKLETON SCHOOL DISTRICT,Washington,WASHINGTON,Bickleton School District,5300510,22716,95
BIDDEFORD PUBLIC SCHOOLS,Maine,MAINE,Biddeford Public Schools,2303150,13895,2414
BIDDLE ELEM,Montana,MONTANA,Biddle Elem,3003600,27000,4
BIENVILLE PARISH,Louisiana,LOUISIANA,Bienville Parish,2200210,14712,2262
BIG BAY DE NOC SCHOOL DISTRICT,Michigan,MICHIGAN,Big Bay De Noc School District,2605690,11232,198
BIG BEAVER FALLS AREA SD,Pennsylvania,PENNSYLVANIA,Big Beaver Falls Area SD,4203630,12844,1744
BIG COUNTRY COOP,Montana,MONTANA,Big Country Coop,3000020,†,†
BIG CREEK ELEMENTARY,California,CALIFORNIA,Big Creek Elementary,0604860,21655,55
BIG FOOT UHS SCHOOL DISTRICT,Wisconsin,WISCONSIN,Big Foot UHS School District,5515480,16759,482
BIG HOLLOW SD 38,Illinois,ILLINOIS,Big Hollow SD 38,1706270,11519,1803
BIG HORN,Montana,MONTANA,Big Horn,3000010,†,†
BIG HORN COUNTY SCHOOL DISTRICT #1,Wyoming,WYOMING,Big Horn County School District #1,5601420,16728,1067
BIG HORN COUNTY SCHOOL DISTRICT #2,Wyoming,WYOMING,Big Horn County School District #2,5601460,16258,716
BIG HORN COUNTY SCHOOL DISTRICT #3,Wyoming,WYOMING,Big Horn County School District #3,5603170,18910,498
BIG HORN COUNTY SCHOOL DISTRICT #4,Wyoming,WYOMING,Big Horn County School District #4,5601090,25132,280
BIG JACKSON SCHOOL DISTRICT,Michigan,MICHIGAN,Big Jackson School District,2600105,14750,20
BIG LAGOON UNION ELEMENTARY,California,CALIFORNIA,Big Lagoon Union Elementary,0604890,30389,18
BIG LAKE PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,BIG LAKE PUBLIC SCHOOL DISTRICT,2705460,10063,3179
BIG OAK FLAT-GROVELAND UNIFIED,California,CALIFORNIA,Big Oak Flat-Groveland Unified,0691137,†,†
BIG PASTURE,Oklahoma,OKLAHOMA,BIG PASTURE,4004350,11167,198
BIG PICTURE TWIN CITIES,MINNESOTA,MINNESOTA,Big Picture Twin Cities,2700422,†,†
BIG PINE UNIFIED,California,CALIFORNIA,Big Pine Unified,0604950,20538,171
BIG RAPIDS PUBLIC SCHOOLS,Michigan,MICHIGAN,Big Rapids Public Schools,2605780,8906,1998
BIG SANDY ISD,Texas,TEXAS,BIG SANDY ISD,4810170,9843,529
BIG SANDY ISD,Texas,TEXAS,BIG SANDY ISD,4810140,14982,721
BIG SANDY K-12,Montana,MONTANA,Big Sandy K-12,3003750,15520,173
BIG SANDY SCHOOL DISTRICT NO. 100J,Colorado,COLORADO,Big Sandy School District No. 100J,0806600,11353,306
BIG SKY SCHOOL K-12,Montana,MONTANA,Big Sky School K-12,3000654,11989,355
BIG SKY SPECIAL NEEDS COOP,Montana,MONTANA,Big Sky Special Needs Coop,3000060,†,†
BIG SPRING ISD,Texas,TEXAS,BIG SPRING ISD,4810200,8969,3917
BIG SPRING SD,Pennsylvania,PENNSYLVANIA,Big Spring SD,4203660,14634,2571
BIG SPRINGS CHARTER SCHOOL,Texas,TEXAS,BIG SPRINGS CHARTER SCHOOL,4800227,15691,204
BIG SPRINGS UNION ELEMENTARY,California,CALIFORNIA,Big Springs Union Elementary,0604980,9575,179
BIG STONE CITY SCHOOL DISTRICT 25-1,South Dakota,SOUTH DAKOTA,Big Stone City School District 25-1,4606960,12704,108
BIG SUR UNIFIED,California,CALIFORNIA,Big Sur Unified,0600031,15780,109
BIG TIMBER ELEM,Montana,MONTANA,Big Timber Elem,3003800,9025,319
BIG VALLEY JOINT UNIFIED,California,CALIFORNIA,Big Valley Joint Unified,0605010,17735,147
BIG WALNUT LOCAL,Ohio,OHIO,Big Walnut Local,3904674,10528,3579
BIGFORK ELEM,Montana,MONTANA,Bigfork Elem,3003820,8876,582
BIGFORK H S,Montana,MONTANA,Bigfork H S,3003840,11385,299
BIGGS UNIFIED,California,CALIFORNIA,Biggs Unified,0605040,11911,617
BILLERICA,Massachusetts,MASSACHUSETTS,Billerica,2502670,16218,4937
BILLINGS,Oklahoma,OKLAHOMA,BILLINGS,4004360,16676,74
BILLINGS CO 1,North Dakota,NORTH DAKOTA,BILLINGS CO 1,3802840,22870,108
BILLINGS ELEM,Montana,MONTANA,Billings Elem,3003870,9328,11553
BILLINGS H S,Montana,MONTANA,Billings H S,3003900,10957,5271
BILLINGS R-IV,Missouri,MISSOURI,BILLINGS R-IV,2905070,8690,410
BILOXI PUBLIC SCHOOL DIST,Mississippi,MISSISSIPPI,BILOXI PUBLIC SCHOOL DIST,2800630,9017,6184
BINGER-ONEY,Oklahoma,OKLAHOMA,BINGER-ONEY,4033603,9014,350
BINGHAMTON CITY SCHOOL DISTRICT,New York,NEW YORK,BINGHAMTON CITY SCHOOL DISTRICT,3604870,19232,5696
BIO-MED SCIENCE ACADEMY STEM SCHOOL,Ohio,OHIO,Bio-Med Science Academy STEM School,3901512,6962,346
BIRCH GROVE COMMUNITY SCHOOL,Minnesota,MINNESOTA,BIRCH GROVE COMMUNITY SCHOOL,2700255,14793,29
BIRCH RUN AREA SCHOOLS,Michigan,MICHIGAN,Birch Run Area Schools,2605820,8631,1896
BIRCHWOOD SCHOOL DISTRICT,Wisconsin,WISCONSIN,Birchwood School District,5501170,15182,302
BIRD ISLAND-OLIVIA-LAKE LILLIAN,Minnesota,MINNESOTA,BIRD ISLAND-OLIVIA-LAKE LILLIAN,2705660,12044,678
BIRDVILLE ISD,Texas,TEXAS,BIRDVILLE ISD,4810230,8733,23857
BIRMINGHAM CITY,Alabama,ALABAMA,Birmingham City,0100390,10761,24070
BIRMINGHAM PUBLIC SCHOOLS,Michigan,MICHIGAN,Birmingham Public Schools,2605850,15254,8191
BIRNEY ELEM,Montana,MONTANA,Birney Elem,3003990,13636,11
BISBEE UNIFIED DISTRICT (4169),Arizona,ARIZONA,Bisbee Unified District,0401180,12463,589
BISHOP,Oklahoma,OKLAHOMA,BISHOP,4004470,6803,564
BISHOP CISD,Texas,TEXAS,BISHOP CISD,4810260,9222,1386
BISHOP UNIFIED,California,CALIFORNIA,Bishop Unified,0601409,11757,1890
BISMARCK 1,North Dakota,NORTH DAKOTA,BISMARCK 1,3800014,12374,12878
BISMARCK CAREER ACADEMY,North Dakota,NORTH DAKOTA,BISMARCK CAREER ACADEMY,3800398,†,†
BISMARCK HENNING CUSD,Illinois,ILLINOIS,Bismarck Henning CUSD,1706390,10707,938
BISMARCK R-V,Missouri,MISSOURI,BISMARCK R-V,2905130,10023,517
BISMARCK SCHOOL DISTRICT,Arkansas,ARKANSAS,BISMARCK SCHOOL DISTRICT,0503240,8895,1023
BISMARCK SPECIAL ED UNIT,North Dakota,NORTH DAKOTA,BISMARCK SPECIAL ED UNIT,3880720,†,†
BISMARCK TECHNICAL CENTER,North Dakota,NORTH DAKOTA,BISMARCK TECHNICAL CENTER,3880750,†,†
BISON SCHOOL DISTRICT 52-1,South Dakota,SOUTH DAKOTA,Bison School District 52-1,4607050,16369,149
BITTERROOT VALLEY COOP,Montana,MONTANA,Bitterroot Valley Coop,3000068,†,†
BITTERWATER-TULLY ELEMENTARY,California,CALIFORNIA,Bitterwater-Tully Elementary,0605190,12250,32
BIXBY,Oklahoma,OKLAHOMA,BIXBY,4004500,6885,6204
BLACHLY SD 90,Oregon,OREGON,Blachly SD 90,4102160,13413,252
BLACK BUTTE SD 41,Oregon,OREGON,Black Butte SD 41,4102190,16563,32
BLACK BUTTE UNION ELEMENTARY,California,CALIFORNIA,Black Butte Union Elementary,0605220,13164,213
BLACK HAWK AREA SP ED DISTRICT,Illinois,ILLINOIS,Black Hawk Area Sp Ed District,1700084,†,†
BLACK HAWK SCHOOL DISTRICT,Wisconsin,WISCONSIN,Black Hawk School District,5505730,12354,376
BLACK HILLS SPECIAL SERVICES COOPERATIVE,South Dakota,SOUTH DAKOTA,Black Hills Special Services Cooperative,4680120,†,†
BLACK HORSE PIKE REGIONAL SCHOOL DISTRICT,New Jersey,NEW JERSEY,Black Horse Pike Regional School District,3401770,17211,3754
BLACK OAK MINE UNIFIED,California,CALIFORNIA,Black Oak Mine Unified,0605240,10724,1253
BLACK RIVER CAREER PREP HIGH SCHOOL,Ohio,OHIO,Life Skills Center of Elyria,3900176,9992,126
BLACK RIVER FALLS SCHOOL DISTRICT,Wisconsin,WISCONSIN,Black River Falls School District,5501260,11374,1729
BLACK RIVER LOCAL,Ohio,OHIO,Black River Local,3904846,11726,1152
BLACK RIVER PUBLIC SCHOOL,Michigan,MICHIGAN,Black River Public School,2600114,8591,961
BLACK RIVER USD #39,Vermont,VERMONT,Black River USD #39,5008241,18262,149
BLACKDUCK PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,BLACKDUCK PUBLIC SCHOOL DISTRICT,2705730,12637,628
BLACKFOOT CHARTER COMMUNITY LEARNING CENTER INC.,Idaho,IDAHO,BLACKFOOT CHARTER COMMUNITY LEARNING CENTER INC.,1600153,4406,547
BLACKFOOT DISTRICT,Idaho,IDAHO,BLACKFOOT DISTRICT,1600270,7358,3913
BLACKFORD COUNTY SCHOOLS,Indiana,INDIANA,Blackford County Schools,1800570,8502,1872
BLACKHAWK SD,Pennsylvania,PENNSYLVANIA,Blackhawk SD,4203688,12265,2409
BLACKLICK VALLEY SD,Pennsylvania,PENNSYLVANIA,Blacklick Valley SD,4203690,13401,679
BLACKSTONE ACADEMY,Rhode Island,RHODE ISLAND,Blackstone Academy,4400036,12608,296
BLACKSTONE VALLEY PREP  A RI MAYORAL ACADEMY,Rhode Island,RHODE ISLAND,Blackstone Valley Prep  A RI Mayoral Academy,4400015,13057,1587
BLACKSTONE VALLEY REGIONAL VOCATIONAL TECHNICAL,Massachusetts,MASSACHUSETTS,Blackstone Valley Regional Vocational Technical,2502710,19162,1206
BLACKSTONE-MILLVILLE,Massachusetts,MASSACHUSETTS,Blackstone-Millville,2502715,13801,1766
BLACKWATER R-II,Missouri,MISSOURI,BLACKWATER R-II,2905190,7224,156
BLACKWELL,Oklahoma,OKLAHOMA,BLACKWELL,4004630,7334,1306
BLACKWELL CISD,Texas,TEXAS,BLACKWELL CISD,4800005,23400,150
BLADEN COUNTY SCHOOLS,North Carolina,NORTH CAROLINA,Bladen County Schools,3700390,9597,4751
BLAINE,Montana,MONTANA,Blaine,3000011,†,†
BLAINE COUNTY DISTRICT,Idaho,IDAHO,BLAINE COUNTY DISTRICT,1600300,15952,3320
BLAINE SCHOOL DISTRICT,Washington,WASHINGTON,Blaine School District,5300570,12154,2256
BLAIR,Oklahoma,OKLAHOMA,BLAIR,4004650,7922,294
BLAIR COMMUNITY SCHOOLS,Nebraska,NEBRASKA,BLAIR COMMUNITY SCHOOLS,3104100,9887,2326
BLAIR OAKS R-II,Missouri,MISSOURI,BLAIR OAKS R-II,2909930,8426,1208
BLAIR-TAYLOR SCHOOL DISTRICT,Wisconsin,WISCONSIN,Blair-Taylor School District,5500016,11603,625
BLAIRSTOWN ELEMENTARY TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Blairstown Elementary Township School District,3401800,19439,485
BLAKE ELEMENTARY,California,CALIFORNIA,Blake Elementary,0605250,20182,11
BLANCHARD,Oklahoma,OKLAHOMA,BLANCHARD,4004680,7041,2016
BLANCHE KELSO BRUCE ACADEMY,Michigan,MICHIGAN,Blanche Kelso Bruce Academy,2600272,†,176
BLANCHESTER LOCAL,Ohio,OHIO,Blanchester Local,3904638,10232,1605
BLANCO ISD,Texas,TEXAS,BLANCO ISD,4810320,11002,1027
BLAND COUNTY PUBLIC SCHOOLS,Virginia,VIRGINIA,BLAND CO PBLC SCHS,5100390,10802,771
BLAND ISD,Texas,TEXAS,BLAND ISD,4810350,9524,666
BLANKET ISD,Texas,TEXAS,BLANKET ISD,4810380,13352,182
BLAST IU 17,Pennsylvania,PENNSYLVANIA,BLaST IU 17,4289270,†,–
BLECKLEY COUNTY,Georgia,GEORGIA,Bleckley County,1300440,9930,2516
BLEDSOE COUNTY,Tennessee,TENNESSEE,Bledsoe County,4700270,9435,1825
BLENDED LEARNING ACADEMIES CREDIT RECOVERY HIGH SCHOOL,MICHIGAN,MICHIGAN,Blended Learning Academies Credit Recovery High School,2601072,8432,81
BLEVINS SCHOOL DISTRICT,Arkansas,ARKANSAS,BLEVINS SCHOOL DISTRICT,0503300,10714,497
BLIND BROOK-RYE UNION FREE SCHOOL DISTRICT,New York,NEW YORK,BLIND BROOK-RYE UNION FREE SCHOOL DISTRICT,3624630,25959,1501
BLISS JOINT DISTRICT,Idaho,IDAHO,BLISS JOINT DISTRICT,1600330,14163,129
BLISSFIELD COMMUNITY SCHOOLS,Michigan,MICHIGAN,Blissfield Community Schools,2606000,9340,1207
BLOCHMAN UNION ELEMENTARY,California,CALIFORNIA,Blochman Union Elementary,0605280,1719,1277
BLOOM TWP HSD 206,Illinois,ILLINOIS,Bloom Twp HSD 206,1706420,20759,3092
BLOOM-CARROLL LOCAL,Ohio,OHIO,Bloom-Carroll Local,3904686,9722,1939
BLOOM-VERNON LOCAL,Ohio,OHIO,Bloom-Vernon Local,3904959,11260,877
BLOOMBURG ISD,Texas,TEXAS,BLOOMBURG ISD,4810440,9307,283
BLOOMER SCHOOL DISTRICT,Wisconsin,WISCONSIN,Bloomer School District,5501350,10619,1219
BLOOMFIELD,New Mexico,NEW MEXICO,BLOOMFIELD SCHOOLS,3500240,9814,2957
BLOOMFIELD COMMUNITY SCHOOLS,Nebraska,NEBRASKA,BLOOMFIELD COMMUNITY SCHOOLS,3104140,15778,257
BLOOMFIELD ELEM,Montana,MONTANA,Bloomfield Elem,3004200,†,†
BLOOMFIELD HILLS SCHOOLS,Michigan,MICHIGAN,Bloomfield Hills Schools,2606090,17526,5556
BLOOMFIELD R-XIV,Missouri,MISSOURI,BLOOMFIELD R-XIV,2905250,8293,690
BLOOMFIELD SCHOOL DISTRICT,Connecticut,CONNECTICUT,BLOOMFIELD SCHOOL DISTRICT,0900330,25080,2143
BLOOMFIELD SCHOOL DISTRICT,Vermont,VERMONT,Bloomfield School District,5002280,†,†
BLOOMFIELD SCHOOL DISTRICT,Indiana,INDIANA,Bloomfield School District,1800600,8540,883
BLOOMFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,BLOOMFIELD TOWNSHIP SCHOOL DISTRICT,3401830,15600,6438
BLOOMFIELD-MESPO LOCAL,Ohio,OHIO,Bloomfield-Mespo Local,3905009,14405,252
BLOOMING GROVE ISD,Texas,TEXAS,BLOOMING GROVE ISD,4810470,8745,934
BLOOMING PRAIRIE PUBLIC SCHOOLS,Minnesota,MINNESOTA,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,2705760,10169,753
BLOOMINGDALE PUBLIC SCHOOL DISTRICT,Michigan,MICHIGAN,Bloomingdale Public School District,2606270,9975,1179
BLOOMINGDALE SCHOOL DISTRICT,New Jersey,NEW JERSEY,Bloomingdale School District,3401860,21594,574
BLOOMINGDALE SD 13,Illinois,ILLINOIS,Bloomingdale SD 13,1706450,16430,1297
BLOOMINGTON AREA CAREER CENTER,Illinois,ILLINOIS,Bloomington Area Career Center,1700036,†,†
BLOOMINGTON ISD,Texas,TEXAS,BLOOMINGTON ISD,4810500,11888,900
BLOOMINGTON PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2705790,13239,10712
BLOOMINGTON SD 87,Illinois,ILLINOIS,Bloomington SD 87,1706480,14672,5421
BLOOMSBURG AREA SD,Pennsylvania,PENNSYLVANIA,Bloomsburg Area SD,4203840,13019,1557
